"image_link","surrounding_text","href"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/80f9eeaccc93d54f6946d1291b2465ef.jpg?tl=1&ve=1","Fans hold their breath as serious crash shakes the track during Bristol showdown - Fox News 56˚ SPORTS SPORTS","https://www.foxnews.com/sports/nascar-drivers-sheldon-creed-brennan-poole-involved-serious-crash-bristol"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/f0a36423bf03d2ef7ecbd2441b4b5598.png?tl=1&ve=1","'Boy Meets World' stars reveal their least favorite episode of the series - Fox News 56˚ ENTERTAINMENT ENTERTAINMENT","https://www.foxnews.com/entertainment/boy-meets-world-stars-declare-worst-most-idiotic-episode-series"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/b034807f9f7332293e2669f060c5d31a.png?tl=1&ve=1","Lizzo wears shirt on 'SNL' criticizing Donald Trump's tariffs - Fox News 56˚ Lizzo wears shirt on 'SNL' criticizing Donald Trump's tariffs","https://www.outkick.com/culture/lizzo-bravely-wore-t-shirt-during-saturday-night-live-performance-criticizing-trumps-tariff-war"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/gettyimages-2206704563.jpg?tl=1&ve=1","A distinct shift in how Trump's White House is observing Holy Week - Fox News 56˚ EXCLUSIVE EXCLUSIVE","https://www.foxnews.com/politics/white-house-hold-extraordinary-holy-week-events-trump-honors-easter-the-observance-deserves"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/min-woo-lee2.jpg?tl=1&ve=1","Golfer's dream of winning Masters is all but over after getting hit with penalty - Fox News 56˚ SPORTS SPORTS","https://www.foxnews.com/sports/masters-officials-penalize-golfer-over-ball-move"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/06/343/193/luke-combs.jpg?tl=1&ve=1","Country star gives kids normal childhood before 'strange circumstances' take over - Fox News 56˚ ENTERTAINMENT ENTERTAINMENT","https://www.foxnews.com/entertainment/luke-combs-says-hes-giving-kids-normal-childhood-before-very-strange-circumstances-take-over"
"https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2025/03/343/193/donald-trump.png?tl=1&ve=1","White House trade chief says Trump has no plans to speak with Xi Jinping about tariff war - Fox News 56˚ White House trade chief says Trump has no plans to speak with Xi Jinping about tariff war
3 min read","https://www.foxbusiness.com/politics/white-house-trade-chief-says-trump-has-no-plans-speak-xi-jinping-about-tariff-war"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/meemawthumb.png?tl=1&ve=1","Driven by deep faith, woman's pay-what-you-can restaurant nourishes hundreds in her state - Fox News 56˚ Driven by deep faith, woman's pay-what-you-can restaurant nourishes hundreds in her state
4 min read","https://www.foxnews.com/media/pay-what-you-can-oregon-restaurant-funded-faith-feeds-hundreds-children-free"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/be130d61f44a907d4eb30a1ca8410bcf.png?tl=1&ve=1","Your sandwich could hurt your credit score? Hidden dangers of 'buy now, pay later' apps - Fox News 56˚ Your sandwich could hurt your credit score? Hidden dangers of 'buy now, pay later' apps
3 min read","https://www.foxbusiness.com/personal-finance/sandwich-hurt-credit-score-hidden-dangers-buy-now-pay-later-apps-finally-coming-light"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/44956bbe07bfe83b4ed61bedde1664d2.jpg?tl=1&ve=1","From steel to soul? Scientists unveil a robot that doesn’t just think like us — it feels like us - Fox News 56˚ From steel to soul? Scientists unveil a robot that doesn’t just think like us — it feels like us
6 min read","https://www.foxnews.com/category/tech/artificial-intelligence"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2024/05/343/193/ec1a5362bccaab6e812bad4b14c2378f.jpg?tl=1&ve=1","Delicious recipes, surprising power foods & juicy secrets to eating better - Fox News 56˚ KITCHEN CABINET: Delicious recipes, surprising power foods & juicy secrets to eating better","https://www.foxnews.com/food-drink"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2024/05/343/193/3b4204e879369c6f84635f3b85361c61.jpg?tl=1&ve=1","Discover your next getaway, travel hacks & expert recommendations - Fox News 56˚ VACATION MODE: Discover your next getaway, travel hacks & expert recommendations","https://www.foxnews.com/travel"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2024/05/343/193/5f6a06b86be39d73bd26c98295ce6bc1.jpg?tl=1&ve=1","Doctors on call for you, tips to staying fit & key warning signs - Fox News 56˚ PICTURE OF HEALTH: Doctors on call for you, tips to staying fit & key warning signs","https://www.foxnews.com/health"
